campaign,start,stop,channel,module,output,ra0,dec0,ra1,dec1,ra2,dec2,ra3,dec3
11,2016-09-24,2016-12-08,71,20,3,254.9702818564167,-17.79122388994991,256.22048899695574,-17.62346164955876,256.38887623351707,-18.731312831638437,255.1301287885551,-18.899652000240412
11,2016-09-24,2016-12-08,72,20,4,257.4810138492276,-17.446722598491217,256.2331129898147,-17.621727533882975,256.401579335716,-18.729568269014145,257.6577369299732,-18.552791519446163
11,2016-09-24,2016-12-08,73,22,1,255.6949678330571,-26.29172741606083,255.87846509640082,-27.4831463256533,254.62698298353519,-27.630364874412848,254.45697934086067,-26.43675723720719
11,2016-09-24,2016-12-08,74,22,2,256.06715238057166,-28.686444644493893,255.88033201109525,-27.49518312431317,254.62872222210132,-27.64242276526476,254.80249448267475,-28.835814382780292
11,2016-09-24,2016-12-08,75,22,3,253.42707428118285,-28.984035742966636,253.26809917272902,-27.789519658238007,254.5232842176843,-27.65469426676726,254.69569812462493,-28.848270504428484
11,2016-09-24,2016-12-08,76,22,4,253.11166967455313,-26.582680311948636,253.26651528198963,-27.777444489745054,254.52156196632325,-27.64262869013987,254.3529390442772,-26.448833875333623
11,2016-09-24,2016-12-08,77,23,1,255.27222263233688,-23.47018473366444,255.44870713164585,-24.662034650866918,254.22683618609932,-24.807488625959024,254.06199851286692,-23.613702349099846
11,2016-09-24,2016-12-08,78,23,2,255.62980325670685,-25.865791709087386,255.45050714851115,-24.674076495916815,254.2285206093809,-24.819550276702902,254.39656403413625,-26.01314919993545
11,2016-09-24,2016-12-08,79,23,3,253.0524003832491,-26.159943471718062,252.89756990957721,-24.965404595905255,254.1226427109717,-24.83133609389981,254.28900211846218,-26.02513498338347
11,2016-09-24,2016-12-08,80,23,4,252.74486254906122,-23.758571893007705,252.89602683170853,-24.95333295187992,254.12098090029653,-24.819271841390652,253.95785183002346,-23.62529439216073
11,2016-09-24,2016-12-08,81,24,1,254.86708926292584,-20.64754869281374,255.03828758628998,-21.839621817464295,253.84193661844108,-21.984122881499047,253.68075369078838,-20.79027581650121
11,2016-09-24,2016-12-08,82,24,2,255.21349351375198,-23.043640493862725,255.04003415481125,-21.851669125553347,253.84358434607844,-21.996188144150636,254.00750808739622,-23.189881596396514
11,2016-09-24,2016-12-08,83,24,3,252.69328136330375,-23.33714628059715,252.5404366410113,-22.14267205427926,253.7395936928596,-22.007990394196824,253.90222938381416,-23.201927590441365
